VC_dum,PE_dum,VC_or_PE_dum,Rev_share_w_TP,TP_chgs_per_head,TP_recruiting,TP_course_dev,TP_instruction,Expansion,Captivity,invisible_1,invisible_2,invisible_3,no_rs_ph,LMS,Institution,Provider,For_Profit,V_PC_None,Start_mo_contract,Start_yr_contract,Term_primary_contract,First_start_date_any,Last_start_date_any,End_date_last_contract,Visible,Captivity_AR_INDEF,Online_homepage,Amount_of_contract,Rev_share_percent,NoVCPE_dum,Visiblerc,invisible_4,provider_rc,cat_termofcontract
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Johnson County Community College","Instructure",1,2,8,2017,1,2017,2017,2021,-999,0,"https://www.jccc.edu/online-learning/","cost annually around 170K","","No",,,"Instructure","1 year"
"Yes","No","Yes",1,0,0,0,0,0,0,"No","No","No","No","No","Kent State University","Everspring",1,1,11,2013,7,2013,2013,2020,2,0,"https://onlinedegrees.kent.edu/","","Indicates revenue share byt terms are redacted","No",2,"No","Everspring","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,1,1,,,,"Yes","Yes","Kentucky Community and Technical College System","Blackboard",1,2,7,2011,4,2011,2016,2018,-999,1,"https://kctcs.edu/education-training/kctcs-online/","see notes","","No",,,"Blackboard","Between 1 and 4 years"
"No","Yes","Yes",0,1,0,1,0,0,0,"No","Yes","No","No","No","Kentucky Community and Technical College System","Cengage",1,2,12,2013,3,2013,2015,2018,1,0,"https://kctcs.edu/education-training/kctcs-online/","","$68.75, per student, per course","No",1,"No","Cengage","Between 1 and 4 years"
"Yes","No","Yes",0,0,0,0,0,0,0,,,,"Yes","No","Kentucky Community and Technical College System","Civitas",1,1,12,2013,2,2013,2013,2015,-999,0,"https://kctcs.edu/education-training/kctcs-online/","$245,500 annually","","No",,,"Civitas","Between 1 and 4 years"
"No","No","No",1,0,,1,0,1,0,"No","Yes","No","No","No","Kentucky Community and Technical College System","Pearson",1,0,1,2009,3,2009,2015,2017,1,0,"https://kctcs.edu/education-training/kctcs-online/","seems initially around $55 per head cost for enrollment in specific MyLabsPlus modules; but pricing is linked to enrollment. It's lower the greater the enrollment, which creates some of the kinds of incentives of traditional rev share. Then there are course fees listed later at as high as $175.00 or $563.00 each.","","Yes",1,"No","Pearson","Between 1 and 4 years"
"No","Yes","Yes",1,0,1,1,0,0,1,"No","No","No","No","No","Lamar University","Academic Partnerships",1,2,8,2014,3,2014,2018,2021,2,1,"https://www.lamar.edu/lu-online/index.html","","30% for most ug majors, 50% for most grad majors","No",2,"No","Academic Partnerships","Between 1 and 4 years"
"No","Yes","Yes",1,0,1,1,1,0,0,"No","Yes","No","No","No","Los Angeles Community College District","Ed2Go",1,2,12,2013,.5,2013,2015,2016,1,0,"[ALERT: NO MAIN ONLINE PAGE]","Contracts vary from 8K-32K, real money in rev share","67% for instructor led courses, variable for career training program courses","No",1,"No","Ed2Go","Less than 1 year"
"No","Yes","Yes",1,0,1,1,0,1,0,"No","No","No","No","No","Louisiana State University System","Academic Partnerships",1,2,2,2013,3,2013,2013,2022,2,0,"https://online.lsu.edu/","Contract sets maximum fee to be paid (I assume through revenue share): initially 2 million then, in 2015 amended to 3.3 million; 2016 5.8 mill amendment; 2017 8.3 then AGAIN to 24.8--years being added to contract as well","50% of graduate course tuition revenue","No",2,"No","Academic Partnerships","Between 1 and 4 years"
"No","Yes","Yes",1,0,1,1,0,1,0,"No","No","No","No","No","Louisiana State University-Shreveport","Academic Partnerships",1,2,2,2013,3,2013,2017,2020,2,0,"[ALERT: NO MAIN ONLINE PAGE]","Maximum fee moved up from 95K to 750K, as programs grow",".5","No",2,"No","Academic Partnerships","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Luna Community College","Blackboard",1,2,5,2008,1,2008,2012,2013,-999,1,"","","","No",,,"Blackboard","1 year"
"No","Yes","Yes",0,0,0,0,0,1,1,,,,"Yes","Yes","Marshall University","Blackboard",1,2,7,2009,1,2009,2015,2018,-999,1,"","~440K 2009, ~516 Y2 in response to fee increase","","No",,,"Blackboard","1 year"
"Yes","No","Yes",0,1,1,1,1,0,1,"Yes","Yes","No","No","No","Mesalands Community College","MindEdge",1,1,1,2017,1,2017,2017,2018,0,1,"https://www.mesalands.edu/academic-programs/distance-education-2/","","$99 a head","No",0,"No","MindEdge","1 year"
"No","No","No",0,0,0,0,0,0,1,,,,"Yes","No","Miami University of Ohio","Unizin",1,0,7,2019,3,2019,2020,2022,-999,1,"","$210,000 over 3 one-year periods","","Yes",,,"Unizin","Between 1 and 4 years"
"Yes","No","Yes",0,0,0,0,0,0,1,,,,"Yes","No","Miami University of Ohio","Iparadigmns",1,1,8,2014,3,2014,2014,2017,-999,1,"","19500","","No",,,"Iparadigmns","Between 1 and 4 years"
"Yes","No","Yes",,,,,,,,"No","No","No",,"No","Miami University of Ohio","Kaltura",1,1,7,2019,1,2019,2019,2020,2,,"https://miamioh.edu/online/","$85,649.99 annually","","No",2,"No","Kaltura","1 year"
"No","No","No",0,0,0,0,0,0,1,,,,"Yes","No","Miami University of Ohio","Proctorio",1,0,5,2017,5,2017,2017,2022,-999,1,"","$100,000/year over 5 years","","Yes",,,"Proctorio","Between 5 and 9 years"
"Yes","No","Yes",1,0,1,1,0,1,1,"No","No","No","No","No","Michigan State University","Bisk",1,1,6,2011,10,2011,2020,2021,2,0,"https://online.msu.edu/","","70%; But Midland Degree Program 40% to 65%; Gross revenue from leads not already in Bisk's data base = 50%; in 2015 set some maximums in millions and then move down the % for Bisk as programs grow. Huge incentive to grow. Also if MSU generates leads MSU takes 70% and Bisk 30%.","No",2,"No","Bisk","10 years or more"
"No","Yes","Yes",0,1,0,1,1,1,1,"No","No","No","No","No","Michigan State University","Capa",1,2,5,2020,.2,2020,2020,2020,2,0,"https://online.msu.edu/","1250 per student enrolled","","No",2,"No","Capa","Less than 1 year"
"No","No","No",0,1,0,1,1,0,1,,,,"No","No","Michigan State University","Connect-123",1,0,5,2020,.2,2020,2020,2020,,0,"","","","Yes",,,"Connect-123","Less than 1 year"
"Yes","No","Yes",1,0,0,0,0,0,0,"No","No","No","No","No","Michigan State University","Coursera",1,1,6,2015,,2015,2015,888,2,0,"https://online.msu.edu/","",".5","No",2,"No","Coursera","10 years or more"
"Yes","No","Yes",1,0,0,0,0,1,0,"No","No","No","No","Yes","Michigan State University","D2L",1,1,6,2011,10,2011,2020,2021,2,0,"online.msu.edu","","","No",2,"No","D2L","10 years or more"
"Yes","No","Yes",0,1,0,1,1,0,0,,,,"No","No","Michigan State University","Virtual Internship Partners Limited",1,1,5,2020,1,2020,2020,2021,,0,"","","","No",,,"Virtual Internship Partners Limited","1 year"
"No","Yes","Yes",0,1,0,0,0,0,0,"No","Yes","No","No","Yes","Michigan Technological University","Instructure",1,2,12,2012,3,2012,2015,2018,1,0,"https://www.mtu.edu/globalcampus/","","","No",1,"No","Instructure","Between 1 and 4 years"
"Yes","No","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Minnesota State Colleges and Universities","D2L",1,1,10,2011,6,2011,2011,2017,-999,0,"","~1 million for 12-13 AY","","No",,,"D2L","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,1,0,,,,"Yes","Yes","Mississippi Community Colleges","Blackboard",1,2,11,1999,3,1999,2007,2010,-999,0,"","Total for 3 years in 1999 appears to be ~51K according to RFP. Appears to be ~112K in 2002 for online webhosting. 2006 = ~315K, seems to be increased users, emails about not enough to support web traffic. By 2007 cost is over 3 million annually","","No",,,"Blackboard","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Mississippi Community Colleges","Instructure",1,2,2,2013,5,2013,2013,2018,-999,0,"","~4.3 million annually, with provision no more than 5% increase annually. Represents savings on what the school WOULD have been paying from Blackboard increases","","No",,,"Instructure","Between 5 and 9 years"
"Yes","No","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Mississippi Community Colleges","D2L",1,1,12,2005,3,2005,2009,2012,-999,0,"","Total price (2009 amendment) is around 200K annually. 2012 amendment around 211K. Price not to exceed.","Price per FTE, but in tiers/bands as is typical","No",,,"D2L","Between 1 and 4 years"
"No","No","No",0,0,0,0,0,0,1,,,,"Yes","No","Missouri University of Science and Technology","Internet2",0,0,6,2016,5,2016,2016,2021,-999,1,"","~$385,985 for 5 years","","Yes",,,"Internet2","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Montana State University","Blackboard",1,2,7,2002,1,2002,2010,2011,-999,1,"","Price in 2003 amendment is ~70K. By 2010 ~98K","","No",,,"Blackboard","1 year"
"Yes","No","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Montana University System","D2L",1,1,7,2008,3,2008,2008,2011,-999,0,"",""Budget challenges" make it impossible to afford initial bid. D2L makes a 636K (for 3 years) option that weighs lower on first year to accomodate. Also comes up with a huge number of scenarios for consideration by system based on roll out of e-courses. Entirely unclear what they decide to do.","","No",,,"D2L","Between 1 and 4 years"
"No","Yes","Yes",1,0,1,1,1,0,0,"Yes","Yes","No","No","No","Montgomery County Community College","Ed2Go",1,2,7,2015,888,2015,2015,888,0,0,"https://www.mc3.edu/degrees-and-programs/online-learning","","Ed2Go typically revenue share; seems they left out these details in FOIA","No",0,"No","Ed2Go","Indefinite"
"No","No","No",0,0,1,0,0,0,1,"No","No","No","Yes","No","Nevada System of Higher Education","Pearson",1,0,12,2015,888,2015,2015,2025,2,1,"[ALERT: NO MAIN ONLINE PAGE]","","68-85% depending on enrollment; situation where % decreases as enrollment #s pass a certain amount here it is 600 students","Yes",2,"No","Pearson","Indefinite"
"No","No","No",1,0,1,1,0,0,0,"No","No","No","No","No","New Jersey Institute of Technology","Pearson",1,0,10,2010,7,2010,2012,2019,2,0,"https://online.njit.edu/","","Rev share redacted--appears to have different rates for out-of-state and in-state, and by amount of students (presumably more favorable more students).","Yes",2,"No","Pearson","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","New Mexico Higher Education Department","Blackboard",1,2,5,2008,3,2008,2011,2012,-999,0,"","~9.2 million system-wide contract in 2011 amendment (added some schools)--this appears to be 1.3 million added from previous year; In 2008 contract was 5.8 million, but two years after that 1 million because didn't include the "Blackboard Enterprise Software Solution" which may last for a few years with an agreement.","","No",,,"Blackboard","Between 1 and 4 years"
"No","No","No",0,0,0,0,0,0,1,,,,"Yes","No","New Mexico Highlands University","Aspect Consulting",1,0,11,2018,,2018,2019,2019,-999,0,"","$85/hr","","Yes",,,"Aspect Consulting","10 years or more"
"Yes","No","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","New Mexico Highlands University","D2L",1,1,11,2011,3.7,2011,2023,2024,-999,0,"","$97,910.72 over 5 years. Notes from first round of contracts: 69655.28 + additional costs for training + 18,500 for perpetual license required for on-premise streaming; ~75K 2013-2014, price in 2014-2015 = $78.5; 2016 = 69K. Stays fairly constant.","","No",,,"D2L","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","New Mexico Junior College","Instructure",1,2,1,2012,.5,2012,2012,2013,-999,0,"","Initial half year contract = ~26K, then another full year at ~54K","","No",,,"Instructure","Less than 1 year"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","New Mexico Military Institute","Instructure",1,2,1,2015,3,2015,2015,2018,-999,0,"","3 years at ~20K each","","No",,,"Instructure","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","New Mexico State University","Blackboard",1,2,3,2008,3,2008,2016,2017,-999,0,"","~7.8 mill contract creates a New Mexico Statewide eLearning system. Unclear how this relates to the New Mexico Higher Education Dept. contract, which includes the state, and is for many other millions of dollars.","","No",,,"Blackboard","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","New Mexico State University","Instructure",1,2,9,2011,,2011,2015,2016,-999,0,"","","","No",,,"Instructure","10 years or more"
"Yes","No","Yes",0,0,0,0,0,0,0,,,,"Yes","No","New Mexico State University","Centra",1,1,3,2002,888,2002,2002,888,-999,1,"","147500","","No",,,"Centra","Indefinite"
